Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned,predicted_label,predicted_distance,predicted_similarity,topk_labels,topk_distances,topk_similarities
2004605,"TIUB07C-33  TUBING, POLYURETHANE",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,tiub07c 33 tubing polyurethane,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6372818708419801,0.36271812915801993,"Gasses, Automation Mechanical, Tools","0.6373, 0.6374, 0.7237","0.3627, 0.3626, 0.2763"
2005522,"TU1208G-20  TUBING, 20 METER ROLL (GR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,tu1208g 20 tubing 20 meter roll gr,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.640661919116974,0.359338080883026,"Automation Mechanical, Gasses, Tools","0.6407, 0.6446, 0.6958","0.3593, 0.3554, 0.3042"
2040825,KQ2H06-M5A FITTING,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 m5a fitting,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6524840116500855,0.3475159883499145,"Automation Mechanical, Gasses, Tools","0.6525, 0.6566, 0.7385","0.3475, 0.3434, 0.2615"
2081520,D-R732  PROX SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d r732 prox switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.649354910850525,0.350645089149475,"Automation Mechanical, Gasses, Tools","0.6494, 0.6864, 0.7311","0.3506, 0.3136, 0.2689"
2083190,R6350A-2  BLOWER,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,r6350a 2 blower,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6233559370040894,0.3766440629959106,"Gasses, Automation Mechanical, Tools","0.6234, 0.6346, 0.7023","0.3766, 0.3654, 0.2977"
2158763,NJ07  FLOATING JOINT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,nj07 floating joint,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6269640445709229,0.3730359554290771,"Automation Mechanical, Gasses, Tools","0.6270, 0.6488, 0.7028","0.3730, 0.3512, 0.2972"
2187760,"M127006 CLEVIS,1.3/4""/2"" M SERIES",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,m127006 clevis 1 3 4 2 m series,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6475179672241211,0.35248203277587886,"Automation Mechanical, Gasses, Tools","0.6475, 0.6632, 0.7042","0.3525, 0.3368, 0.2958"
2367355,KQ2H06-01AS 1/8 PT X 6MM MALE CONNECTOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 01as 1 8 pt x 6mm male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6491763710975648,0.35082362890243524,"Automation Mechanical, Gasses, Tools","0.6492, 0.6579, 0.7153","0.3508, 0.3421, 0.2847"
2377379,D-R731  SENSOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d r731 sensor,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6315441250801087,0.3684558749198913,"Automation Mechanical, Gasses, Tools","0.6315, 0.6594, 0.7212","0.3685, 0.3406, 0.2788"
2475757,D-M9PSDPC  AUTO-SWITCH W/CONNECTOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9psdpc auto switch w connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.647155511379242,0.352844488620758,"Automation Mechanical, Gasses, Tools","0.6472, 0.6753, 0.7227","0.3528, 0.3247, 0.2773"
2475762,"D-G5BAL  AUTO SWITCH, BAND MOUNT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d g5bal auto switch band mount,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6470893144607544,0.35291068553924565,"Automation Mechanical, Gasses, Tools","0.6471, 0.6791, 0.7244","0.3529, 0.3209, 0.2756"
2511957,YI-1B6-530 SINGLE BELLOWS IMP AIR SPRING,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,yi 1b6 530 single bellows imp air spring,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6426821112632752,0.35731788873672476,"Automation Mechanical, Gasses, Tools","0.6427, 0.6476, 0.7168","0.3573, 0.3524, 0.2832"
2627341,"1263K77 VBA KIT 3/8,1/2 PO CHECK",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,1263k77 vba kit 3 8 1 2 po check,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6491246938705445,0.3508753061294555,"Automation Mechanical, Gasses, Tools","0.6491, 0.6547, 0.7172","0.3509, 0.3453, 0.2828"
2660164,K50-MP1.0-N01MS GAUGE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,k50 mp1 0 n01ms gauge,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6573267340660096,0.3426732659339904,"Automation Mechanical, Gasses, Tools","0.6573, 0.6619, 0.7296","0.3427, 0.3381, 0.2704"
2665520,BA2-032 RING CLAMP,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ba2 032 ring clamp,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.659502136707306,0.34049786329269405,"Automation Mechanical, Gasses, Tools","0.6595, 0.6667, 0.7195","0.3405, 0.3333, 0.2805"
2764149,D-M9BL INLINE SOLID 2 WIRE DIRECT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9bl inline solid 2 wire direct,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6429354906082154,0.3570645093917846,"Gasses, Automation Mechanical, Tools","0.6429, 0.6565, 0.7255","0.3571, 0.3435, 0.2745"
2764176,D-Z76L REED SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d z76l reed switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6451010823249816,0.35489891767501835,"Automation Mechanical, Gasses, Tools","0.6451, 0.6574, 0.7119","0.3549, 0.3426, 0.2881"
2766612,"SY9320-5DZ-02T VALVE, DBL SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sy9320 5dz 02t valve dbl sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6286186695098878,0.37138133049011224,"Automation Mechanical, Gasses, Tools","0.6286, 0.6548, 0.7178","0.3714, 0.3452, 0.2822"
2789931,C4SF-Z FILTER BOWL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,c4sf z filter bowl,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6535752296447754,0.34642477035522456,"Automation Mechanical, Gasses, Tools","0.6536, 0.6591, 0.7354","0.3464, 0.3409, 0.2646"
2858346,D-A93SAPC SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d a93sapc switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6561247348785402,0.3438752651214598,"Automation Mechanical, Gasses, Tools","0.6561, 0.6959, 0.7309","0.3439, 0.3041, 0.2691"
3422819,"TU0604BU-33 TUBING, POLYURETHAN",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,tu0604bu 33 tubing polyurethan,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6354426980018616,0.3645573019981384,"Gasses, Automation Mechanical, Tools","0.6354, 0.6388, 0.7197","0.3646, 0.3612, 0.2803"
3468610,BKF22A BOWL PLASTIC  W/AUTO DRAIN,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,bkf22a bowl plastic w auto drain,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6454850673675538,0.35451493263244616,"Automation Mechanical, Gasses, Tools","0.6455, 0.6667, 0.7300","0.3545, 0.3333, 0.2700"
3540328,AS3000-N02 SPEED CONTROL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as3000 n02 speed control,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6148599267005921,0.3851400732994079,"Automation Mechanical, Gasses, Tools","0.6149, 0.6777, 0.7139","0.3851, 0.3223, 0.2861"
3958364,D-M9BAL INLINE SOLID 2 WIRE DIRECT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9bal inline solid 2 wire direct,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6313847303390503,0.3686152696609497,"Gasses, Automation Mechanical, Tools","0.6314, 0.6475, 0.7174","0.3686, 0.3525, 0.2826"
3958395,"EVS1-01-FG-S-3ZRM0 VALVE, ISO SGL SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,evs1 01 fg s 3zrm0 valve iso sgl sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6421982526779175,0.3578017473220825,"Automation Mechanical, Gasses, Tools","0.6422, 0.6509, 0.7300","0.3578, 0.3491, 0.2700"
3960706,SV4100-5W1U 2 POSITION SINGLE SOLENOID,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sv4100 5w1u 2 position single solenoid,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6415808200836182,0.35841917991638184,"Automation Mechanical, Gasses, Tools","0.6416, 0.6695, 0.7195","0.3584, 0.3305, 0.2805"
4241335,PF2W711-N10-67N DIGITAL FLOW SWITCH FOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,pf2w711 n10 67n digital flow switch for,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6220247626304627,0.3779752373695373,"Automation Mechanical, Gasses, Tools","0.6220, 0.6541, 0.7101","0.3780, 0.3459, 0.2899"
4382034,EX600-DXPD DIG IN PNP 16 IN M12 CON,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ex600 dxpd dig in pnp 16 in m12 con,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6618213295936586,0.3381786704063414,"Automation Mechanical, Gasses, Tools","0.6618, 0.6771, 0.7268","0.3382, 0.3229, 0.2732"
4538712,"KQB2U06-00 FITTING, NICKEL PLATED BRASS",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kqb2u06 00 fitting nickel plated brass,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6372910618782043,0.3627089381217957,"Gasses, Automation Mechanical, Tools","0.6373, 0.6498, 0.7128","0.3627, 0.3502, 0.2872"
4556590,"VP544-5DZ1-A VALVE, SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,vp544 5dz1 a valve sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6334075212478638,0.3665924787521362,"Gasses, Automation Mechanical, Tools","0.6334, 0.6359, 0.7184","0.3666, 0.3641, 0.2816"
4558185,AK4000-N04 CHECK VALVE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ak4000 n04 check valve,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6304975748062134,0.3695024251937866,"Automation Mechanical, Gasses, Tools","0.6305, 0.6543, 0.7249","0.3695, 0.3457, 0.2751"
4564519,D-M9PWMDPC INLINE SOLID PNP DIRECT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d m9pwmdpc inline solid pnp direct,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6439277529716492,0.35607224702835083,"Automation Mechanical, Gasses, Tools","0.6439, 0.6532, 0.7202","0.3561, 0.3468, 0.2798"
4576383,"SY7120-5YO-02T VALVE, SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sy7120 5yo 02t valve sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6184394478797913,0.3815605521202087,"Automation Mechanical, Gasses, Tools","0.6184, 0.6475, 0.7203","0.3816, 0.3525, 0.2797"
4785526,"AS2052F-08 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as2052f 08 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6260672688484192,0.37393273115158077,"Automation Mechanical, Gasses, Tools","0.6261, 0.6786, 0.7178","0.3739, 0.3214, 0.2822"
4896300,"AS2052F-06 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as2052f 06 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6265979766845704,0.3734020233154296,"Automation Mechanical, Gasses, Tools","0.6266, 0.6791, 0.7164","0.3734, 0.3209, 0.2836"
4980047,"AS1002F-03 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as1002f 03 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6241249680519105,0.37587503194808947,"Automation Mechanical, Gasses, Tools","0.6241, 0.6764, 0.7226","0.3759, 0.3236, 0.2774"
4980427,"KQG2L09-N01S FITTING, METAL ONE TOUCH,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kqg2l09 n01s fitting metal one touch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6536293625831604,0.3463706374168396,"Automation Mechanical, Gasses, Tools","0.6536, 0.6634, 0.7090","0.3464, 0.3366, 0.2910"
4980515,"MKB32TN-10RZ CYLINDER, ROTARY CLAMP",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,mkb32tn 10rz cylinder rotary clamp,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6287714004516602,0.37122859954833975,"Automation Mechanical, Gasses, Tools","0.6288, 0.6487, 0.6969","0.3712, 0.3513, 0.3031"
5047787,B1.5-20-SIT   VACUUM CUP,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,b1 5 20 sit vacuum cup,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6407768011093139,0.3592231988906861,"Gasses, Automation Mechanical, Tools","0.6408, 0.6505, 0.7236","0.3592, 0.3495, 0.2764"
5225012,"AS3002F-12 SPEED CONTROLLER, INLINE,",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as3002f 12 speed controller inline,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6289273381233216,0.3710726618766784,"Automation Mechanical, Gasses, Tools","0.6289, 0.6754, 0.7158","0.3711, 0.3246, 0.2842"
5432152,92648,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,92648,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6661523342132569,0.3338476657867431,"Automation Mechanical, Gasses, Tools","0.6662, 0.6785, 0.7238","0.3338, 0.3215, 0.2762"
5624298,AD48-A FILTER BOWL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ad48 a filter bowl,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6376575589179994,0.36234244108200064,"Automation Mechanical, Gasses, Tools","0.6377, 0.6622, 0.7229","0.3623, 0.3378, 0.2771"
5624324,AF30-03D-A FILTER,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,af30 03d a filter,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6442347764968873,0.3557652235031127,"Automation Mechanical, Gasses, Tools","0.6442, 0.6580, 0.7232","0.3558, 0.3420, 0.2768"
5624369,AF40-N04D-Z-A FILTER,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,af40 n04d z a filter,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6459809780120851,0.3540190219879149,"Automation Mechanical, Gasses, Tools","0.6460, 0.6601, 0.7261","0.3540, 0.3399, 0.2739"
5624603,AR30-N03H-Z-A REGULATOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ar30 n03h z a regulator,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6236981987953186,0.3763018012046814,"Gasses, Automation Mechanical, Tools","0.6237, 0.6510, 0.7136","0.3763, 0.3490, 0.2864"
5684471,"KQ2H07-U02A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h07 u02a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6509233951568605,0.3490766048431395,"Automation Mechanical, Gasses, Tools","0.6509, 0.6589, 0.7249","0.3491, 0.3411, 0.2751"
5754523,R422001317 CCI-DA-050-0030-0071224110000,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,r422001317 cci da 050 0030 0071224110000,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6533187985420228,0.3466812014579772,"Automation Mechanical, Gasses, Tools","0.6533, 0.6611, 0.7258","0.3467, 0.3389, 0.2742"
5785949,"KQ2H07-M5A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h07 m5a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6507901310920716,0.3492098689079284,"Automation Mechanical, Gasses, Tools","0.6508, 0.6628, 0.7269","0.3492, 0.3372, 0.2731"
5788578,"KQ2H08-U01A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 u01a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6532464146614076,0.34675358533859235,"Automation Mechanical, Gasses, Tools","0.6532, 0.6617, 0.7252","0.3468, 0.3383, 0.2748"
5791413,"KQ2H08-U02A FITTING, MALE CONNECTOR",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 u02a fitting male connector,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6529286861419679,0.34707131385803214,"Automation Mechanical, Gasses, Tools","0.6529, 0.6599, 0.7250","0.3471, 0.3401, 0.2750"
5801634,ECO LROEM 1.15M X 2,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,eco lroem 1 15m x 2,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6569368600845338,0.3430631399154662,"Automation Mechanical, Gasses, Tools","0.6569, 0.6584, 0.7246","0.3431, 0.3416, 0.2754"
6058168,GKM27-54 PISTON ROD CLEVIS,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,gkm27 54 piston rod clevis,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6380447149276735,0.36195528507232655,"Automation Mechanical, Gasses, Tools","0.6380, 0.6496, 0.6917","0.3620, 0.3504, 0.3083"
6606272,EX600-ED3-X2   END PLATE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ex600 ed3 x2 end plate,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6384668469429018,0.3615331530570982,"Automation Mechanical, Gasses, Tools","0.6385, 0.6625, 0.7017","0.3615, 0.3375, 0.2983"
6768729,"EX600-SEN3 ETHERNET/IP, PNP 2 PORT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,ex600 sen3 ethernet ip pnp 2 port,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6585753440856934,0.3414246559143066,"Automation Mechanical, Gasses, Tools","0.6586, 0.6898, 0.7331","0.3414, 0.3102, 0.2669"
6802741,A8R336M  AIR MOTOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,a8r336m air motor,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6131028294563294,0.38689717054367057,"Automation Mechanical, Gasses, Tools","0.6131, 0.6344, 0.6935","0.3869, 0.3656, 0.3065"
6938651,VQC4201-51 VQC VALVE,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,vqc4201 51 vqc valve,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.639785659313202,0.36021434068679803,"Automation Mechanical, Gasses, Tools","0.6398, 0.6421, 0.7384","0.3602, 0.3579, 0.2616"
6951236,"VQ4201-51 VALVE, SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,vq4201 51 valve sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6364985108375549,0.36350148916244507,"Gasses, Automation Mechanical, Tools","0.6365, 0.6418, 0.7311","0.3635, 0.3582, 0.2689"
6988699,R900424271 DBDS 20 K1X/315,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,r900424271 dbds 20 k1x 315,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6476226449012756,0.35237735509872437,"Automation Mechanical, Gasses, Tools","0.6476, 0.6525, 0.7104","0.3524, 0.3475, 0.2896"
